TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER
SISTEMA DE CONTROLE AUTOMÁTICO DA TEMPERATURA DO AR DE SECAGEM EM SECADOR DE PLANTAS MEDICINAIS,2001,,Português,Revista Brasileira de Produtos Agroindustriais,B5,1517-8595,"['Júlio César de Jesus', 'Lauri Lourenço Radunz', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'Pedro Amorim Berbert']","['1', '2', '3', '4', '5']"
EFEITO DA TEMPERATURA DO AR SECAGEM NA QUALIDADE DO ÓLEO ESSENCIAL DE ALECRIM PIMENTA (Lippia sidoides Cham),2002,,Português,Revista Brasileira de Armazenamento,B5,0100-3518,"['Lauri Lourenço Radunz', 'Evandro de Castro Melo', 'Pedro Amorim Berbert', 'Ronicely Pereira da Rocha']","['1', '2', '3', '4']"
EVALUATION OF MATHEMATICAL MODELS FOR PREDICTION OF THIN-LAYER DRYING OF BRAZILIAN LEMON-SCENTED VERBENA LEAVES (Lippia alba (MILL) N.E. BROWN),2007,,Inglês,Revista Brasileira de Produtos Agroindustriais,B5,1517-8595,"['Fabrízio da Fonseca Barbosa', 'Evandro de Castro Melo', 'Ricardo Henrique Silva Santos', 'Ronicely Pereira da Rocha', 'Ana Paula Martinazzo', 'Lauri Lourenço Radunz']","['1', '2', '3', '4', '5', '6']"
INFLUÊNCIA DA TEMPERATURA DO AR DE SECAGEM NA QUANTIDADE DO ÓLEO ESSENCIAL EXTRAÍDO DE GUAFO (MIKANIA GLOMERATA SPRENGEL).,2003,,Português,Revista Brasileira de Armazenamento,B5,0100-3518,"['Lauri Lourenço Radunz', 'Evandro de Castro Melo', 'Paulo Antônio Berbert', 'Luiz Cláudio de Almeida Barbosa', 'Ricardo Henrique Silva Santos', 'Ronicely Pereira da Rocha']","['1', '2', '3', '4', '5', '6']"
QUALITY PARAMETERS OF CYMBOPOGON CITRATUS LEAVES DURING AMBIENT STORAGE,2009,,Inglês,Applied Engineering in Agriculture,B2,0883-8542,"['Ana Paula Martinazzo', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'Nilda de Fátima Ferreira Soares', 'Ronicely Pereira da Rocha', 'Lauri Lourenço Randuz', 'Pedro Amorim Berbert']","['1', '2', '3', '4', '5', '6', '7']"
MATHEMATICAL MODELING OF THE DRYING KINETICS OF SUGARCANE SLICES,2009,,Inglês,Revista Brasileira de Produtos Agroindustriais,B5,1517-8595,"['Nahia A. Goyalde', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'André Luiz Duarte Goneli', 'Fabiana Lana Araújo']","['1', '2', '3', '4', '5']"
STUDY OF ESSENTIAL OIL FROM GUACO LEAVES SUBMITTED TO DIFFERENT DRYING AIR TEMPERATURE,2010,,Inglês,Engenharia na Agricultura,B3,1414-3984,"['Lauri Lourenço Radunz', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'Pedro Amorim Berbert', 'Luis Manuel Navas Gracia']","['1', '2', '3', '4', '5']"
AVALIAÇÃO DA CINÉTICA DE SECAGEM DE CARQUEJA,2011,,Português,Engenharia na Agricultura,B3,1414-3984,"['Lauri Lourenço Radunz', 'Antonio Sergio do Amaral', 'Altemir José Mossi', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha']","['1', '2', '3', '4', '5']"
CONTROLE DA TEMPERATURA E VELOCIDADE DO AR DE SECAGEM EM UM SECADOR DE PLANTAS MEDICINAIS,2011,,Português,Engenharia na Agricultura,B3,1414-3984,"['Mauro die Oliveira Prates', 'Tarcísio de Assunção Pizziolo', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'José Vitor Nicácio']","['1', '2', '3', '4', '5']"
INFLUENCE OF DYING AIR VELOCITY ON THE CHEMICAL COMPOSITION OF ESSENTIAL OIL FROM LEMON GRASS.,2011,,Inglês,African Journal of Food Science and Technology,B5,2141-5455,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Antônio Jacinto Demuner', 'Lauri Lourenço Radunz', 'José Bon Corbín']","['1', '2', '3', '4', '5']"
